mg,bp_rp
4.799894304235199,0.8423624
6.343285486329858,1.7041702
5.741816944578728,1.1931038
6.171333212354629,1.13908
5.349944077718932,1.1736898
5.738274348405058,1.1639328
7.2313168322898385,1.6736183
5.658267341368461,1.0825005
5.153737151611059,1.0512886
9.332855694757182,2.4642353
6.859627549241829,1.218008
4.976017278226234,0.9289074
4.812804829983136,1.4975595
3.664988936703672,1.1503325
4.636777988464258,1.0440588
7.5737244752740125,1.6848106
3.8689378498893063,2.2008
7.469468762047011,1.7468071
4.213673976531986,1.4742136
2.0407157612569016,1.973815
4.707988026893574,1.514987
5.88704441654809,2.1246252
4.627279593711439,0.8269434
8.077336198413395,1.7954044
6.7244787666686,1.3292885
3.233593809061576,0.6157646
6.077993266339089,1.6210003
7.937459370002255,1.8191185
-0.1878561457286132,1.9207754
5.89657219008085,1.1674213
6.409082515373299,1.3333797
5.954689796037643,1.0708666
4.2758164369352425,0.9355116
3.817591489214914,1.1049852
4.001008262974501,1.0023422
4.882242571889558,1.1167507
6.367732296266183,1.3790846
8.441520811737718,2.2185078
6.4328602257334495,1.6129227
2.5825630243511277,1.6197443
6.8248794665694525,1.4449825
6.335130495997483,1.3626146
6.366103547864977,1.8637428
6.278123013016344,1.2466602
10.74029748642024,2.5633793
8.228115898683235,1.9354115
4.2869727242963,1.0614796
5.935874547903431,1.7044907
0.7391065326052519,1.3284149
5.635264716076895,0.90410423
2.678470918534801,2.4186134
4.950198211461464,1.9069939
6.390796627275382,1.35116
7.496237980607539,1.6930885
5.325682725962183,1.0040493
8.353454227439077,1.7973804
1.5754969754158417,0.4640398
9.37825168066907,2.1726208
1.8432580958207083,1.7015934
5.357631005264542,1.1408005
5.598413348332951,1.3254032
4.105493298559747,1.038825
5.310328575741625,1.5715637
5.663536808433218,1.1781693
1.1461780713382304,1.7588587
3.686974239737223,1.0286875
5.072685040906467,1.088089
4.47269766482297,1.0027075
6.889321042400223,1.7717571
4.40409607947845,0.8569689
6.638940998497404,1.4868603
4.930564511993651,0.99743176
6.721519952894365,1.4377365
4.3719837536621675,1.4729137
5.9473946597718506,1.223649
9.579273708191618,2.3920574
4.844631692810989,0.991889
3.572869833280256,1.2416334
5.726557858979648,1.3116455
9.153124809140937,2.0793839
4.092470521190354,1.0208988
9.229263126252164,2.2287827
6.2380557490987805,1.7312193
4.434530869054939,0.8276005
5.851451929576726,1.1493282
5.104747335736199,1.0394449
8.05496590849938,1.9947395
0.3360682484990001,1.8635883
6.339693324040098,1.2077446
6.082769151059779,1.4468098
4.314514059691337,1.14892
7.586197721001014,2.0958538
0.6051686494844333,1.393467
4.224074996845925,0.8431635
6.3499370469261045,1.1826515
6.262062852410729,1.2960968
8.544663982352375,2.4191608
7.749181134600697,1.3883553
0.4786615914762944,1.4708481
7.439562878442075,1.5739994
6.807571793674427,1.5018616
6.476351605455928,1.2121792
6.052633700516701,1.1481342
5.593977188380254,1.3957844
4.7622085586355425,1.6405983
7.323253150713416,2.1087837
0.6769569301688207,1.3625059
5.1116562331909705,1.0349855
5.427040049790683,1.1881218
9.371849111243943,2.3195877
7.35595010630454,1.6742764
6.422981861798675,1.4166155
7.035486957341835,1.4954605
6.583886048479055,1.2637348
5.965652901385024,0.9541645
0.44042245917139056,1.4245081
9.996112660497253,2.4071693
5.569203648695899,0.8314791
3.34100637023818,1.0425882
1.5248209325218305,0.72785854
4.5526815142068955,1.0234985
4.82176275788261,0.88726616
5.240364631766997,1.0348339
0.13607432714364798,2.0502138
5.407741258311654,1.4532471
2.9290503849451426,2.7098055
2.7400211035106192,1.0291891
4.221052911669149,1.3297491
6.0986980886717355,1.4825993
8.869402870681704,1.9447403
4.815253245648037,1.0903568
6.197127465252809,1.2800665
4.155983255056334,1.44557
2.8605936932951597,0.787838
4.27906971097531,1.5262537
2.8698851542408566,1.2243376
3.7134009783745565,1.3923893
6.686868583998802,1.4537907
5.400301454091419,1.1836472
6.4423875554792716,1.5546818
4.434601214557528,1.0916538
4.2037325928499705,1.3321171
5.396838315041014,2.3654604
3.02512073157747,1.055028
7.045810843189084,1.9079895
6.288391717819362,1.1455421
4.356442230706332,0.8970051
6.0764716558853,1.1538754
4.982681539103721,1.6858501
3.29916709976996,1.1002035
6.518544910537166,1.4028883
3.0414164968198687,1.0679264
4.672916411351125,0.78458977
6.994532186151865,1.6208057
6.9680239050183275,1.3891592
5.358900143133482,1.2644463
8.551121914121122,2.0134087
4.407428399530778,1.0266104
2.523009292433448,0.4276886
5.0468345976640006,1.3208332
6.599199303504236,1.3105927
-0.5571208529771496,1.6873875
5.500473469877271,1.4286957
4.791969579262151,1.5685844
6.590114314443323,1.331089
5.752614376497869,1.1278915
5.135420413330397,1.0977907
3.7148385503461565,1.2406902
4.3583134703282305,1.1058397
5.294995499342617,1.2021866
3.731302248641274,1.6170177
0.6818679084787753,1.3574562
4.574028994084598,1.2719402
6.71967761919873,1.1320648
6.550443533748485,1.6280861
5.243110036437507,1.0719137
6.787074417036251,1.9806728
7.554910920011963,1.7814388
6.247382958298626,1.3307228
9.23137469235385,2.2051582
